content,score,thumbsUpCount,reviewCreatedVersion,appVersion,at,cleaned_content
Selalu jadi langganan mudik karna nyaman dan aman,5,0,2.8.0,2.8.0,2024-04-05 04:39:44,langgan mudik karna nyaman aman
Alhamdulillah langganan,5,0,,Unknown,2024-04-04 08:09:25,alhamdulillah langgan
dikit dikit minta update mulu 😭,3,0,2.8.1,2.8.1,2024-04-03 22:28:21,dikit dikit update mulu
"Mohon di update, ketika mau login tidak ada otp yg masuk sama sekali, padahal sudah beli tiket.. mau ngecek tidak bisa..",1,1,2.8.2,2.8.2,2024-04-03 22:03:21,update login tidak otp beli tiket ngecek tidak
mohon dibantu ketika mau login knpa otp nya tidak masuk di email maupun sms ya?,2,0,2.8.2,2.8.2,2024-04-03 20:34:07,bantu login knpa otp tidak email sms
"Aplikasi nya sangat merepotkan, setiap update pasti logout dan sangat susah untuk mendapatkan otp mengapa sangat sering sekali update, jika update tetapi tetap login tidak masalah tetapi ini sangat merepotkan",1,83,2.8.2,2.8.2,2024-04-03 07:03:14,aplikasi repot update logout susah otp update update login tidak repot
mudah untuk lhat tarip nya dan bisa cepat,5,0,2.8.2,2.8.2,2024-04-03 00:49:15,mudah lhat tarip cepat
Praktis,5,0,2.8.0,2.8.0,2024-04-03 00:43:58,praktis
"Aplikasi gak guna sama sekali, susah masuk, tiket selalu tidak tersedia, untuk apa aplikasi ini d buat klo masih gak bisa d pakai,, tolong klo mau maju perhatikan hal hal kecil, supaya kita yang jauh dari agen bisa mudah dapat informasi",1,0,,Unknown,2024-04-02 22:46:05,aplikasi tidak susah tiket tidak sedia aplikasi tidak pakai tolong maju perhati agen mudah informasi
Ga bisa dibuka di android ku 2018. Pecat IT nya.,1,0,,Unknown,2024-04-02 22:14:36,tidak buka android ku pecat it
"Aplikasi nya sering ke log out sendiri, pas mau login ulang, ga dikirim² kode verif nya",2,0,,Unknown,2024-04-02 21:45:34,aplikasi log out login ulang tidak kirim kode verif
"Po rosalia indah memang paling top diantara po lainnya,,itu karena pelayanannya yg sangat baik.",4,0,2.8.2,2.8.2,2024-04-02 13:08:09,po rosalia indah top po lainnyaitu layan
"Seperti biasa dari jaman Majapahit abis pembaruan ga bisa login, tidak mendapatkan kode verifikasi",1,0,2.8.2,2.8.2,2024-04-02 08:05:25,jaman majapahit abis baru tidak login tidak kode verifikasi
"tolong perbaiki. banyak sekali macetnya. secara koneksi internet saya oke tpi di sistem rosintransport tidak. kode otp sudh sent tpi belum muncul juga (untuk relogin) ini aplikasi krusial, banyak yg menggunakan lalu lalangnya. sayang kalau masih blm ready. mending sekalian offline tiketing saja sampai aplikasi 100% siap digunakan. krn seperti makin sulit kalau menggunakan sistem yg belum ready. ini masukan ya, mohon diterima untuk development",1,7,2.8.2,2.8.2,2024-04-02 07:07:11,tolong baik macet koneksi internet oke tpi sistem rosintransport tidak kode otp sudh sent tpi muncul relogin aplikasi krusial lalang sayang blm ready mending offline tiketing aplikasi sulit sistem ready masuk terima development
Kode otp tidak masuk,1,0,2.8.2,2.8.2,2024-04-02 05:39:31,kode otp tidak
Pelayanan sangat memuaskan 👍👍,5,0,2.8.2,2.8.2,2024-04-01 23:04:27,layan muas
"Tidak menerima kode otp saat login, mohon diperbaiki",1,0,,Unknown,2024-04-01 22:51:13,tidak terima kode otp login baik
"Kenapa susah banget untuk dapat otp nyaa tolong dong admin nyaa di perbaik ii lgi, punya aplikasi nya cuma buat cak aja",1,0,2.8.2,2.8.2,2024-04-01 22:32:52,susah banget otp nyaa tolong admin nyaa baik ii lgi aplikasi cak
Update dan tidak bisa login lagi... Kode otp tidak masuk ke SMS dan email..,1,0,2.8.1,2.8.1,2024-04-01 20:39:28,update tidak login kode otp tidak sms email
"Lebih baik login memakai password jika belum siap login memakai metode kode verifikasi, soalnya kode verifikasi ga terkirim terkirim",2,0,2.8.2,2.8.2,2024-04-01 19:14:55,login pakai password login pakai metode kode verifikasi kode verifikasi tidak kirim kirim
Ternyaman,5,0,2.8.1,2.8.1,2024-04-01 19:14:33,nyaman
Tololl kode kagak masuk,1,0,2.8.2,2.8.2,2024-04-01 18:54:22,tololl kode kagak
Aplikasi minta login tp setelah minta OTP tidak ada respon,1,0,2.8.2,2.8.2,2024-04-01 17:57:21,aplikasi login otp tidak respon
"Tolong yah kalo minta otp tuh, ya dikirim, udah cek SMS cek wa cek email. Gaada satupun",3,0,2.8.2,2.8.2,2024-04-01 17:46:06,tolong yah otp tuh kirim udah cek sms cek wa cek email gaada satu
Belum pernah coba.,5,0,2.8.2,2.8.2,2024-04-01 17:16:04,coba
"Ini apl rosalia knp,, bentar2 pembaruan. Sdh dprbrui wktu mau pake apl hrs log in trs. Tiap kluar data ilang, dminta log in lg. Minta masukin kode verifkasi mulu... tp kode g dkirim2.... bkin emosi!!!!!!!!",1,4,2.8.2,2.8.2,2024-04-01 15:03:16,apl rosalia knp bentar baru sdh dprbrui wktu pake apl hrs log in trs kluar data ilang dminta log in lg masukin kode verifkasi mulu kode dkirim bkin emosi
Bagus cepat,5,0,2.8.1,2.8.1,2024-04-01 14:04:07,bagus cepat
Bagus banget 2👍👍,5,0,2.8.2,2.8.2,2024-04-01 12:45:35,bagus banget
Mode transportasi yg nyaman dan aman,5,0,,Unknown,2024-04-01 11:21:49,mode transportasi nyaman aman
"Ini hampir tiap bulan minta d perbarui maksudny ap coba,,",1,0,2.8.1,2.8.1,2024-04-01 08:25:55,baru maksudny ap coba
Bagus,5,0,2.7.9,2.7.9,2024-04-01 06:59:10,bagus
Ok,5,0,,Unknown,2024-03-31 23:06:11,ok
Gak kira-kira ngaret ampe 3 jam,1,0,,Unknown,2024-03-31 17:17:34,tidak kirakira ngaret ampe jam
Aplikasi tidak bisa digunakan untuk chek tiket,1,0,2.8.1,2.8.1,2024-03-31 15:19:07,aplikasi tidak chek tiket
Setiap buka aplikasi haruskah mesti update terus? Cape min login ulang login ulang😖,3,0,2.8.0,2.8.0,2024-03-31 06:31:04,buka aplikasi harus mesti update cape admin login ulang login ulang
Nyaman,5,0,2.8.0,2.8.0,2024-03-31 05:29:00,nyaman
Aplikasi kurang respon ketika pendaftaran akun & untuk info tanggal pilih keberangkatan terkadang tidak ada informasi lebih lanjut. Terima kasih .,1,2,2.8.1,2.8.1,2024-03-30 23:42:56,aplikasi respon daftar akun info tanggal pilih berangkat terkadang tidak informasi terima kasih
"Agen Rosalina Palembang KM 09 MOHON di tertibkan preman nya , Agen itu bukan bandara , yg gak boleh di jemput kendaran pribadi , gak boleh grab masuk ...",1,0,2.8.1,2.8.1,2024-03-30 23:30:17,agen rosalina palembang km tertib preman agen bukan bandara tidak jemput kendaran pribadi tidak grab
Bagus,5,0,2.8.1,2.8.1,2024-03-30 22:00:14,bagus
Setelah di update malah tidak bisa masuk atau login ke aplikasi. Kode verifikasi tidak terkirim lewat SMS maupun email. Padahal nomor handphone dan email sudah benar. Di coba berulang-upang tetap gak Nerima kode verifikasi dari SMS maupun email. Gimana ini solusinya? Padahal usah beli tiket online,2,23,2.8.0,2.8.0,2024-03-30 16:43:49,update tidak login aplikasi kode verifikasi tidak kirim sms email nomor handphone email coba berulangupang tidak nerima kode verifikasi sms email gimana solusi beli tiket online
Update mulu,3,0,,Unknown,2024-03-30 14:53:03,update mulu
ruwet,1,0,2.8.0,2.8.0,2024-03-30 13:45:28,ruwet
Aplikasi nya Keseringan Update,5,0,2.8.1,2.8.1,2024-03-30 11:06:02,aplikasi sering update
Bagus aplikasinya buat order ticket. Tapi sayang point habis setiap 1 tahun sekali jadi saya tidak bisa mengumpulkan banyak poin. Karena saya pulang setiap 1 tahun sekali 😥,4,0,2.8.1,2.8.1,2024-03-29 23:32:53,bagus aplikasi order ticket sayang point habis tahun tidak kumpul poin pulang tahun
"Masa tiap buka apk suruh update terus mana servernya lama bgt, pelayanan di loanganpun sekarang juga kurang baik terutama menu makan si kebangetan bgt",1,2,2.8.1,2.8.1,2024-03-29 21:06:10,buka aplikasi suruh update servernya bgt layan loanganpun menu makan si banget banget
Apk busuk update terus kntl,1,0,2.8.0,2.8.0,2024-03-29 20:33:56,aplikasi busuk update kntl
Kenapa Aplikasi ini hampir tiap buka minta di update ulang...?,1,0,2.8.0,2.8.0,2024-03-29 19:30:33,aplikasi buka update ulang
"tolong segera di perbaiki kode OTPnya !! orang mau pesan tiket jadi gak bisa lhoo , gara-gara update gak jelas .. klo gk siap untuk update jangan diupdate aplikasinya .. kecewa banget",2,9,2.8.1,2.8.1,2024-03-29 15:37:53,tolong baik kode otpnya pesan tiket tidak lhoo garagara update tidak tidak update jangan diupdate aplikasi kecewa banget
Bagusss....,5,0,2.8.0,2.8.0,2024-03-29 13:00:12,bagusss
sangat mudah untuk di gunakan,5,0,2.8.0,2.8.0,2024-03-29 10:37:17,mudah
Aplikasi ribet kode otp gak pernah masuk abis update ke log out sendiri,1,0,2.8.1,2.8.1,2024-03-29 08:24:54,aplikasi ribet kode otp tidak abis update log out
"Setelah update, Kode otp tidak dikirim, jadi tidak bisa login Gimana solusinya",2,0,2.8.1,2.8.1,2024-03-29 06:57:52,update kode otp tidak kirim tidak login gimana solusi
perjalanan dgn bus rosalia indah memang menyenangkan dgn pelayanan yg prima ramah dan nyaman.,5,0,2.7.3,2.7.3,2024-03-29 04:05:43,jalan bus rosalia indah senang layan prima ramah nyaman
"Kalo bisa kasih bintang 4.5 , saya kasih dah. Dari saya utk aplikasi ini adalah, setiap ada perbaikan jangan langsung minta update. Kumpulkan dulu semua fixed bugnya, ya setidaknya sampe 2-3 bulan. Setelah itu diupdate, saya rasa masuk akal ketimbang setiap ada fixed bug update, ada fixed bug auto update. Mohon dipertimbangkan kpd developer aplikasi. Terima kasih 😇",4,42,2.8.0,2.8.0,2024-03-29 03:59:55,kasih bintang kasih dah aplikasi baik jangan update kumpul fixed bugnya sampe diupdate akal ketimbang fixed bug update fixed bug auto update timbang kpd developer aplikasi terima kasih
Aplikasi eror!,1,0,2.8.1,2.8.1,2024-03-29 00:16:20,aplikasi eror
"Mau daftar akun harus verifikasi tapi angka verifikasi gak pernah dikirim, alhasil gak bisa pake aplikasi...bisanya bagus tapi aplikasinya cacat...haduh🤦🤦🤦🤦",1,0,2.8.1,2.8.1,2024-03-28 22:13:55,daftar akun verifikasi angka verifikasi tidak kirim alhasil tidak pake aplikasibisanya bagus aplikasi cacathaduh
Aplikasi minta di update dan akan dikirim OTP ke email atau SMS...gak ada sama sekali...malah gak bsa update...,1,5,2.8.1,2.8.1,2024-03-28 21:49:59,aplikasi update kirim otp email smsgak sekalimalah tidak bsa update
Butuh berhari hari nerima otp ketika login.,1,0,2.8.1,2.8.1,2024-03-28 21:09:49,butuh hari nerima otp login
Baik,5,0,2.8.0,2.8.0,2024-03-28 15:50:54,
"Selalu update terus, log in lagi, konfir opt tapo tidak masuk2 otpnya,",1,0,2.8.0,2.8.0,2024-03-28 15:43:22,update log in konfir opt tapo tidak otpnya
"Saya kasih bintang 4, semoga fitur² yang ada bisa dikembangkan dan terupdate lagi. Salam Otobis mania",5,0,2.8.1,2.8.1,2024-03-28 13:03:33,kasih bintang moga fitur kembang terupdate otobis mania
Bagus,4,0,2.8.1,2.8.1,2024-03-28 12:14:20,bagus
Mantap,5,0,2.8.0,2.8.0,2024-03-28 12:10:23,mantap
Tiap mau masuk aplikasi minta update terus aplikasi kmhomtol. Lu pikir update gak pake kuota.,1,0,,Unknown,2024-03-28 11:26:32,aplikasi update aplikasi kmhomtol lu pikir update tidak pake kuota
"kenapasih harus dikit2 update?! Harusnya sekali update tu bisa buat jangka panjang dong, masa dikit2 update kayak gini.",3,0,,Unknown,2024-03-28 09:14:40,kenapasih dikit update update tu jangka dikit update kayak gin
"Tolong dengan sangat, armada nya untuk maintenance nya di perhatikan lebih rutin. Khususnya bis yg sudah 2 kali saya naiki jurusan (purwokerto ke merak) no Lambung 346 . Suara kaki2 undercarriage nya sangat berisik, bunyinya Glodakan, kreket2 campur jadi satu, udah kaya naik gerobak, padahal bis nya kelas Executive Plus, sama bis Ekonomi nya PO sebelah aja masih lebih senyap bis ekonomi PO SJ.",1,9,2.8.0,2.8.0,2024-03-27 19:19:53,tolong armada maintenance perhati rutin bis naik jurus purwokerto merak no lambung suara kaki undercarriage berisik bunyi glodakan kreket campur udah kaya gerobak bis kelas executive plus bis ekonomi po belah senyap bis ekonomi po sj
Untuk pembayaran tidak bisa langsung ke opsi pembayaran yg dipilih. Jadi keluar dan muncul nomor virtual account tapi nomor VA juga tidak bisa untuk bayar,1,2,2.8.0,2.8.0,2024-03-27 13:46:19,bayar tidak opsi bayar pilih muncul nomor virtual account nomor va tidak bayar
"aplikasi sampah, gabisa ngapa ngapain di dalem. login aja gabisa",1,0,2.8.0,2.8.0,2024-03-27 12:25:43,aplikasi sampah gabisa ngapa ngapain dalem login gabisa
"Buruk sekali aplikasinya, saya tidak mengeluarkan akun saya dari aplikasi malah keluar sendiri. Pas mau dimasukkan lagi malah kode Verifikasinya ga dikirim kirim. ANEH sekelas perusahaan travel seperti ini mempunyai aplikasi yang buruk",1,8,2.8.0,2.8.0,2024-03-26 19:52:49,buruk aplikasi tidak keluar akun aplikasi masuk kode verifikasi tidak kirim kirim aneh kelas usaha travel aplikasi buruk
Susah bgt buat login,1,0,2.8.0,2.8.0,2024-03-26 07:13:34,susah banget login
"Gabisa Login otp ga masuk email maupun sms, aplikasi bapuk",1,0,2.8.0,2.8.0,2024-03-25 21:47:50,gabisa login otp tidak email sms aplikasi bapuk
Sangat membantu masyarakat,5,1,2.7.7,2.7.7,2024-03-25 15:28:02,bantu masyarakat
semoga selalu konsisten dalam memberi kenyaman penumpang...dan sampai saat ini saya pribadi puas dengan pelayanan ROSIN,5,0,2.8.0,2.8.0,2024-03-25 12:58:53,moga konsisten kenyam penumpangdan pribadi puas layan rosin
Udah langganan 16 THN mudik selalu naik Rosalia,5,0,,Unknown,2024-03-25 10:46:03,udah langgan thn mudik rosalia
6x coba verifikasi akun tapi ga dikirim kirim kodenya,1,0,2.8.0,2.8.0,2024-03-25 01:14:34,coba verifikasi akun tidak kirim kirim kode
"Aplikasi gak berguna, pencarian tiket gak pernah tersedia, gak terupdate, masa disuruh tanya ke agen masing2, kan kocak, apagunanya aplikasi ini. Dasar Rosalia, urusin aja tuh Keramik Ipad.",1,2,2.8.0,2.8.0,2024-03-24 11:10:37,aplikasi tidak guna cari tiket tidak sedia tidak terupdate suruh agen kocak apagunanya aplikasi dasar rosalia urusin tuh keramik ipad
Sangat membantu konsumen,5,0,2.7.7,2.7.7,2024-03-24 10:50:59,bantu konsumen
"Setelah aplikasi update malah gak bisa login. Kode OTP gak masuk masuk, udah nunggu sampe 7 purnama juga kagak nongol2. Gimana sih ini Rosalia? Adminnya tolong dong diakomodir, lagi disorot banget lho ini Rosalia dengan pemberitaan akhir2 ini",1,2,2.8.0,2.8.0,2024-03-24 05:15:53,aplikasi update tidak login kode otp tidak udah nunggu sampe purnama kagak nongol gimana sih rosalia adminnya tolong diakomodir sorot banget lho rosalia berita
"Waktu verifikasi, kagak pernah langsung dapet kodenya, selalu diulang berkali-kali baru dapat, dan apk nya ngelag, tolong diperbaiki, karena pesan lewat apk bisa mempermudah bagi yang jauh dari agen rosalia indah",1,0,,Unknown,2024-03-23 11:42:40,waktu verifikasi kagak dapet kode ulang berkalikali aplikasi ngelag tolong baik pesan aplikasi mudah agen rosalia indah
Benerin woy lah cik OTP nya😬,2,0,,Unknown,2024-03-23 07:48:23,benerin woy cik otp
Seharian nunggu kode Verifikasi gak dikirim2 hadeuh niat bikin aplikasi gak sih? Suruh programmer benerin dong atau klo nggak bisa suruh sekolah lagi biar pinter aplikasi cacat kayak gini dibiarin,1,0,2.8.0,2.8.0,2024-03-23 00:31:20,hari nunggu kode verifikasi tidak kirim hadeuh niat bikin aplikasi tidak sih suruh programmer benerin nggak suruh sekolah biar pinter aplikasi cacat kayak gin dibiarin
"Setelah update ga bisa login, kode verifikasi tidak masuk di telpon dan email. Kalau belum siap jangan update dong.",2,0,,Unknown,2024-03-22 19:24:16,update tidak login kode verifikasi tidak telpon email jangan update
"Gmna sih rosalia, mnta update tp otp nya gak jelas, sms gak ada email gak ada, niat gak sih bisnis gak sih 🤔🤔",3,0,2.8.0,2.8.0,2024-03-22 19:08:52,gmna sih rosalia mnta update otp tidak sms tidak email tidak niat tidak sih bisnis tidak sih
Untuk teman teman yang tidak menerima kode otp di update terbaru ini coba deh kalian hapus dulu aplikasi Rosalia indah nya Lalau kalian download lagi di play store dan kalian login dengan nomer kalian otomatis kode otp akan terkirim ke g mail atau SMS kalian. Selamat mencoba,5,22,2.8.0,2.8.0,2024-03-22 12:55:37,teman teman tidak terima kode otp update baru coba deh hapus aplikasi rosalia indah lalau download play store login nomer otomatis kode otp kirim mail sms selamat coba
Sangat cocok,5,0,2.8.0,2.8.0,2024-03-22 08:54:14,cocok
Baru install dan mau daftar akun baru minta otp tapi tidak ada kode otp baik lewat sms ataupun email. Kayaknya aplikasinya nggak dikelola dengan baik. Kalau begini mending gabung dengan aplikasi tiket bus lain,1,5,2.8.0,2.8.0,2024-03-22 08:51:48,install daftar akun otp tidak kode otp sms email kayak aplikasi nggak kelola mending gabung aplikasi tiket bus
"Aplikasi ini kurang pengawasan, sama seperti agen2 nya juga sangat sangat kurang pengawasan, 97% orang agen ini tidak memiliki jiwa keramahtamahan",1,0,2.8.0,2.8.0,2024-03-21 15:26:21,aplikasi awas agen awas agen tidak milik jiwa keramahtamahan
"Otp tidak ada masuk, mohon perbaiki dan perbarui aplikasi",3,0,2.8.0,2.8.0,2024-03-21 13:50:55,otp tidak baik baru aplikasi
Nyaman tepat waktu mks,5,0,2.7.7,2.7.7,2024-03-21 12:45:52,nyaman waktu mks
Kesel sama ni mobil ada aja halangannya kalau perjalanan dari kampung ke kota,3,0,2.6.8,2.6.8,2024-03-21 08:50:51,kesel ni mobil halang jalan kampung kota
Kenapa sering abdet trus nih aplikasi tolong lh diperbaiki lagi biar jangan dikit dikit abdet trus bosennn bikin mles tuk ngakses ini aplikasi,1,0,,Unknown,2024-03-21 06:00:18,abdet trus nih aplikasi tolong lh baik biar jangan dikit dikit abdet trus bosennn bikin mles tuk ngakses aplikasi
Mantap pokok e,5,0,2.7.7,2.7.7,2024-03-20 12:32:31,mantap pokok
Untuk transaksi enak Tapi setelah update ga bisa login Otp ga pernah masuk di email ataupun sms ini bagaimana,5,0,2.8.0,2.8.0,2024-03-20 07:34:31,transaksi update tidak login otp tidak email sms
"Setelah update otp gak masuk2 ke email, padahal gue dah pakai aplikasi ini hampir 2 tahun, jadi males klo kaya gini",1,2,2.8.0,2.8.0,2024-03-20 05:07:26,update otp tidak email gue dah pakai aplikasi tahun males kaya gin
Apa yg sedang terjadi? Saya tidak bisa login akun padahal sudah di update paling terbaru.,2,0,2.8.0,2.8.0,2024-03-20 05:01:48,tidak login akun update baru
Habis update.. mau log in... Kirim OTP via email/nmr HP ngg ada dikirim......,2,0,2.8.0,2.8.0,2024-03-19 23:30:09,habis update log in kirim otp via emailnmr hp ngg kirim
baru saja di update suruh updet lagi dan malah tambah lemot tambah lemot,2,0,,Unknown,2024-03-19 23:02:12,update suruh updet lot lot
Setiap kali dibuka harus di update terus,1,0,2.8.0,2.8.0,2024-03-19 22:51:13,buka update
Ngelak,1,0,,Unknown,2024-03-19 21:16:39,ngelak
Mantap,5,0,2.7.7,2.7.7,2024-03-19 17:58:21,mantap
Bagus,5,0,2.7.7,2.7.7,2024-03-19 16:32:07,bagus
"Piye to, update terus.. hrs log in ulang terus, otp kaga pernah dikirim ... hadewww Mending pke aplikasi yg lama lah",1,1,2.7.9,2.7.9,2024-03-19 14:14:48,piye to update hrs log in ulang otp kaga kirim hadewww mending pke aplikasi
Bagus,5,0,2.8.0,2.8.0,2024-03-19 12:38:30,bagus
ok bus nya,5,0,2.8.0,2.8.0,2024-03-19 12:37:19,ok bus
Udah du update tapi suruh update lagi jadi ngak bisaa di bukaaa,1,0,2.8.0,2.8.0,2024-03-19 12:32:10,udah du update suruh update ngak bisaa bukaaa
nyusahin aja kode otp login.berkali.kali kaga di kasih gmna mksdnya?,4,0,,Unknown,2024-03-19 08:13:24,nyusahin kode otp loginberkalikali kaga kasih gmna mksdnya
"Pelayanan kurang, bis ngaret dari jadwal, sering mogok2 baru kali ini naik rosalia kayak gini",1,0,2.7.9,2.7.9,2024-03-18 16:07:19,layan bis ngaret jadwal mogok rosalia kayak gin
mantap,5,0,2.7.2,2.7.2,2024-03-18 13:34:03,mantap
Nggak bisa masuk ke akun. Udah nyoba 10 kali lebih,1,1,2.7.9,2.7.9,2024-03-17 20:04:41,nggak akun udah nyoba
"Pelayanan aslina ramah tamah,cuma kedisiplinan nya itu,sama jam keberangkatan yang tidak pasti,masa dari jam 2 siang sampe jam 7 malam masih terlantar nunggu busnya,trus abis itu busnya brngkt tetep ambil penumpang di daerah lain...hadeh..kapan nyampe tepat waktu...",2,16,2.7.9,2.7.9,2024-03-17 19:59:39,layan aslina ramah tamahcuma disiplin itusama jam berangkat tidak pastimasa jam siang sampe jam malam lantar nunggu busnyatrus abis bus brngkt tetep ambil tumpang daerah lainhadehkapan nyampe waktu
Mantap,5,0,2.7.7,2.7.7,2024-03-17 05:59:44,mantap
"Apa apaan habis update app akun saya logout sendiri, padahal ga ngapa-ngapain terus pas mau login kode otp nya kaga muncul terus padahal sudah diulangi berkali-kali",1,13,2.7.9,2.7.9,2024-03-17 04:28:30,habis update aplikasi akun logout tidak ngapangapain login kode otp kaga muncul ulang berkalikali
"[1] Kecewa berat dgn Admin Rosin via WA & voice call utk proses reschedule karena harus menunggu berjam2 (bahkan sampai tertidur) utk mendapatkan responnya yg katanya melayani 24/7. [2] Sangat kecewa berat dgn aturan reschedule yg maksimal H+7 karena bagi yg rutin pulang-pergi biasanya sdh punya tiket utk minggu2 depannya, shingga jika ada emergency & akan reschedule menjadi rumit & terpaksa refund dgn potongan 25%. Mohon dipertimbangkan agar H+7 dihitung dari tiket terdepan yg sudah dimiliki.",1,1,2.7.9,2.7.9,2024-03-16 23:46:05,kecewa berat admin rosin via wa voice call proses reschedule tunggu jam tidur responnya layan kecewa berat atur reschedule maksimal rutin pulangpergi sdh tiket minggu depan shingga emergency reschedule rumit paksa refund potong timbang hitung tiket depan milik
Perjalanan yg indah,5,0,2.7.9,2.7.9,2024-03-16 23:44:50,jalan indah
Pelayanan bagus dan sangat memuaskan..fasilitas ok!!,5,0,2.7.7,2.7.7,2024-03-16 21:16:02,layan bagus memuaskanfasilitas ok
"𝘽𝙖𝙜𝙖𝙞𝙢𝙖𝙣𝙖 𝙞𝙣𝙞 𝙢𝙞𝙣? 𝕊𝕒𝕪𝕒 𝕤𝕒𝕞𝕡𝕒𝕚 𝕚𝕤𝕚 𝕦𝕝𝕒𝕟𝕘 𝕡𝕦𝕝𝕤𝕒, 𝕜𝕚𝕣𝕒𝕚𝕟 𝕡𝕦𝕝𝕤𝕒 𝕙𝕒𝕓𝕚𝕤,, 𝙩𝙚𝙧𝙣𝙮𝙖𝙩𝙖 𝙚𝙢𝙖𝙣𝙜 𝙜𝙠 𝙖𝙙𝙖 𝙊𝙏𝙋 𝙮𝙜 𝙢𝙖𝙨𝙪𝙠... 𝕋𝕒𝕞𝕡𝕚𝕝𝕒𝕟 𝕟𝕪𝕒 𝕔𝕦𝕞𝕒 𝕟𝕘𝕒𝕤𝕚𝕙 𝕞𝕖𝕟𝕦 𝕟𝕠 ℍℙ, 𝕥𝕒𝕟𝕡𝕒 𝕒𝕕𝕒 𝕡𝕚𝕝𝕚𝕙𝕒𝕟 𝕒𝕝𝕒𝕞𝕒𝕥 𝕖𝕞𝕒𝕚𝕝.. 𝙏𝙤𝙡𝙤𝙣𝙜 𝙧𝙚𝙨𝙥𝙤𝙣 𝙣𝙮𝙖... 𝕋𝕖𝕣𝕚𝕞𝕒𝕜𝕒𝕤𝕚𝕙 Setahun kemudian terjadi lagi,, setelah update, mlh log off sendiri,, giliran mau login, OTP gk ada...",1,5,2.7.9,2.7.9,2024-03-16 17:18:18,tahun update mlh log off gilir login otp tidak
Restorasi tolong diperbaiki masakan Padang yang disajikan hanya kuah soto sama tahu tempe,2,0,2.7.9,2.7.9,2024-03-16 16:45:32,restorasi tolong baik masakan padang saji kuah soto tempe
"Abis updte mlah g bisa login gmn si ,veriy ga masuk2",2,1,2.7.9,2.7.9,2024-03-16 14:12:09,abis updte mlah login gmn si veriy tidak
Otp lambat,1,1,,Unknown,2024-03-16 13:40:17,otp lambat
Kode Verifikasi tidak dapat masuk,1,1,,Unknown,2024-03-16 08:28:07,kode verifikasi tidak
Sangat membantu pembelian tiket kadna gak harus pergi ke po,5,0,2.7.9,2.7.9,2024-03-16 07:47:20,bantu beli tiket kadna tidak pergi po
Habis update gak bisa menerima kode konfirmasi via sms atau imel..,1,0,2.7.9,2.7.9,2024-03-16 00:19:58,habis update tidak terima kode konfirmasi via sms imel
Minta update. Lalu setelah suruh login ulang. Minta otp tapi ga da satupun yang masuk ke email dan tak satupun SMS otp masuk. Kalo ga niat ga usah pake aplikasi. Beli ke loket meski harus payah. Bis sudah ok aplikasinya merepotkan,1,171,2.7.9,2.7.9,2024-03-15 23:55:18,update suruh login ulang otp tidak da satu email satu sms otp tidak niat tidak pake aplikasi beli loket payah bis ok aplikasi repot
"Aplikasi bagus, pelayanan di agen Palembang, saat boarding pass;saling serobot giliran ,penumpang tidak mau antri,",4,0,2.7.9,2.7.9,2024-03-15 22:18:54,aplikasi bagus layan agen palembang boarding passsaling serobot gilir tumpang tidak antri
Setelah diperbarui malah tidak bisa login. Dan Otp tidak masuk ke email ataupun sms,2,0,2.7.9,2.7.9,2024-03-15 21:32:56,baru tidak login otp tidak email sms
Kalau belum siap sistem online mending ga usah buat aplikasi dulu.,1,0,2.7.9,2.7.9,2024-03-15 20:33:46,sistem online mending tidak aplikasi
Enak dan praktis,5,0,2.7.7,2.7.7,2024-03-15 19:30:45,praktis
Buat daftar akun aja susahnya minta ampun . udh bolak balik perbaiki no dan email . masih aja ngga kode otp yg di kirim . parah sih ini . respon nya juga lemot,1,1,2.7.9,2.7.9,2024-03-15 16:15:19,daftar akun susah ampun bolak baik no email ngga kode otp kirim parah sih respon lot
Pilihan tepat pokoknya,5,0,,Unknown,2024-03-15 15:59:45,pilih pokok
"Server sering error, aplikasi lemot.",1,0,2.7.9,2.7.9,2024-03-15 12:06:25,server error aplikasi lot
Booking mudah dan cepat,5,0,2.7.7,2.7.7,2024-03-15 10:28:17,booking mudah cepat
Susah login,1,0,2.7.9,2.7.9,2024-03-15 00:14:36,susah login
"Tolong diperbaiki, tidak bisa login masuk aplikasi ini, padahal sudah beli tiket banyak jadi bingung........",1,1,2.7.9,2.7.9,2024-03-14 21:40:03,tolong baik tidak login aplikasi beli tiket bingung
Setalah di update jadi engak bisa ngirim kode verifikasi di Gmail maupun sms,2,0,2.7.9,2.7.9,2024-03-14 20:44:05,seta update engak ngirim kode verifikasi gmail sms
Sekarang mau masuk apknya gk bisa....setiap hbis update pasti gk bisa masuk akunnya,2,0,2.7.9,2.7.9,2024-03-14 20:22:37,apknya tidak bisasetiap hbis update tidak akun
Baguslah,4,0,2.7.7,2.7.7,2024-03-14 18:59:29,bagus
"di apdute. tpi akun lama hilang, harus daftar lagi",1,0,2.7.9,2.7.9,2024-03-14 17:00:27,apdute tpi akun hilang daftar
Transportasi PP nyaman aman solo-jkt pp,5,0,2.7.7,2.7.7,2024-03-14 15:05:54,transportasi pp nyaman aman solojkt pp
