content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
ini kenapa gabisa login,5,0,,2025-03-21 20:25:26,ini kenapa gabisa login,"['ini', 'kenapa', 'gabisa', 'login']","['gabisa', 'login']","['gabisa', 'login']",gabisa login,"['gabisa', 'login']",gabisa login,Positif
mau login doang susahh bangettt padahal sinyal wifi lancar,2,0,2.9.0,2025-03-21 10:53:46,mau login doang susahh bangettt padahal sinyal wifi lancar,"['mau', 'login', 'doang', 'susahh', 'bangettt', 'padahal', 'sinyal', 'wifi', 'lancar']","['login', 'doang', 'susahh', 'bangettt', 'sinyal', 'wifi', 'lancar']","['login', 'doang', 'susahh', 'bangettt', 'sinyal', 'wifi', 'lancar']",login doang susahh bangettt sinyal wifi lancar,"['login', 'doang', 'susahh', 'bangettt', 'sinyal', 'wifi', 'lancar']",login doang susahh bangettt sinyal wifi lancar,Negatif
gabisa login kacauuu,1,0,,2025-03-18 04:01:26,gabisa login kacauuu,"['gabisa', 'login', 'kacauuu']","['gabisa', 'login', 'kacauuu']","['gabisa', 'login', 'kacauuu']",gabisa login kacauuu,"['gabisa', 'login', 'kacauuu']",gabisa login kacauuu,Negatif
Aplikasi nya ngapain deh gak bisa di buka ngisi alamat tujuan aja gak bisa,1,0,2.9.0,2025-03-17 13:27:02,aplikasi nya ngapain deh gak bisa di buka ngisi alamat tujuan aja gak bisa,"['aplikasi', 'nya', 'ngapain', 'deh', 'gak', 'bisa', 'di', 'buka', 'ngisi', 'alamat', 'tujuan', 'aja', 'gak', 'bisa']","['aplikasi', 'ngapain', 'deh', 'gak', 'buka', 'ngisi', 'alamat', 'tujuan', 'aja', 'gak']","['aplikasi', 'ngapain', 'deh', 'gak', 'buka', 'ngisi', 'alamat', 'tuju', 'aja', 'gak']",aplikasi ngapain deh gak buka ngisi alamat tuju aja gak,"['aplikasi', 'ngapain', 'buka', 'ngisi', 'alamat']",aplikasi ngapain buka ngisi alamat,Negatif
"Tidak daat digunakan sama sekali, semua menu not found",1,0,2.9.0,2025-03-17 12:02:29,tidak daat digunakan sama sekali semua menu not found,"['tidak', 'daat', 'digunakan', 'sama', 'sekali', 'semua', 'menu', 'not', 'found']","['daat', 'menu', 'not', 'found']","['daat', 'menu', 'not', 'found']",daat menu not found,"['daat', 'menu', 'not', 'found']",daat menu not found,Negatif
Aplikasi tdk bisa login login,1,0,2.9.0,2025-03-17 09:58:55,aplikasi tdk bisa login login,"['aplikasi', 'tdk', 'bisa', 'login', 'login']","['aplikasi', 'tdk', 'login', 'login']","['aplikasi', 'tdk', 'login', 'login']",aplikasi tdk login login,"['aplikasi', 'login', 'login']",aplikasi login login,Negatif
mau daftar gk bisa,1,0,2.9.0,2025-03-16 23:55:50,mau daftar gk bisa,"['mau', 'daftar', 'gk', 'bisa']","['daftar', 'gk']","['daftar', 'gk']",daftar gk,['daftar'],daftar,Negatif
aplikasi gak bisa dibuka sama sekali,1,0,2.9.0,2025-03-16 09:00:30,aplikasi gak bisa dibuka sama sekali,"['aplikasi', 'gak', 'bisa', 'dibuka', 'sama', 'sekali']","['aplikasi', 'gak', 'dibuka']","['aplikasi', 'gak', 'buka']",aplikasi gak buka,"['aplikasi', 'buka']",aplikasi buka,Negatif
"buruuuuuuk, mau login katanya blm terdaftar, mau daftar eh katanya udh terdaftar. Masih bobrok gini mending gausah buat aplikasi. Org nyari gampang malah tambah ribet",1,4,2.9.0,2025-03-14 08:35:50,buruuuuuuk mau login katanya blm terdaftar mau daftar eh katanya udh terdaftar masih bobrok gini mending gausah buat aplikasi org nyari gampang malah tambah ribet,"['buruuuuuuk', 'mau', 'login', 'katanya', 'blm', 'terdaftar', 'mau', 'daftar', 'eh', 'katanya', 'udh', 'terdaftar', 'masih', 'bobrok', 'gini', 'mending', 'gausah', 'buat', 'aplikasi', 'org', 'nyari', 'gampang', 'malah', 'tambah', 'ribet']","['buruuuuuuk', 'login', 'blm', 'terdaftar', 'daftar', 'eh', 'udh', 'terdaftar', 'bobrok', 'gini', 'mending', 'gausah', 'aplikasi', 'org', 'nyari', 'gampang', 'ribet']","['buruuuuuuk', 'login', 'blm', 'daftar', 'daftar', 'eh', 'udh', 'daftar', 'bobrok', 'gin', 'mending', 'gausah', 'aplikasi', 'org', 'nyari', 'gampang', 'ribet']",buruuuuuuk login blm daftar daftar eh udh daftar bobrok gin mending gausah aplikasi org nyari gampang ribet,"['buruuuuuuk', 'login', 'blm', 'daftar', 'daftar', 'eh', 'daftar', 'bobrok', 'gin', 'mending', 'gausah', 'aplikasi', 'org', 'nyari', 'gampang', 'ribet']",buruuuuuuk login blm daftar daftar eh daftar bobrok gin mending gausah aplikasi org nyari gampang ribet,Negatif
Gak bisa verifikasi,2,0,2.9.0,2025-03-14 08:13:55,gak bisa verifikasi,"['gak', 'bisa', 'verifikasi']","['gak', 'verifikasi']","['gak', 'verifikasi']",gak verifikasi,['verifikasi'],verifikasi,Negatif
"Mohon untuk diperbaiki fitur jadwal tiketnya, keberangkatan bus jarang terlihat masa harus nyari keberangkatan H+7",3,0,2.9.0,2025-03-14 05:42:37,mohon untuk diperbaiki fitur jadwal tiketnya keberangkatan bus jarang terlihat masa harus nyari keberangkatan h,"['mohon', 'untuk', 'diperbaiki', 'fitur', 'jadwal', 'tiketnya', 'keberangkatan', 'bus', 'jarang', 'terlihat', 'masa', 'harus', 'nyari', 'keberangkatan', 'h']","['diperbaiki', 'fitur', 'jadwal', 'tiketnya', 'keberangkatan', 'bus', 'jarang', 'nyari', 'keberangkatan']","['baik', 'fitur', 'jadwal', 'tiket', 'berangkat', 'bus', 'jarang', 'nyari', 'berangkat']",baik fitur jadwal tiket berangkat bus jarang nyari berangkat,"['fitur', 'jadwal', 'tiket', 'berangkat', 'bus', 'jarang', 'nyari', 'berangkat']",fitur jadwal tiket berangkat bus jarang nyari berangkat,Netral
Tolong buat perusahaan rosalia tolong kalo cari supir tes lagi jangan kejadian kecelakaan lagi,1,0,2.9.0,2025-03-13 03:05:15,tolong buat perusahaan rosalia tolong kalo cari supir tes lagi jangan kejadian kecelakaan lagi,"['tolong', 'buat', 'perusahaan', 'rosalia', 'tolong', 'kalo', 'cari', 'supir', 'tes', 'lagi', 'jangan', 'kejadian', 'kecelakaan', 'lagi']","['tolong', 'perusahaan', 'rosalia', 'tolong', 'kalo', 'cari', 'supir', 'tes', 'kejadian', 'kecelakaan']","['tolong', 'usaha', 'rosalia', 'tolong', 'kalo', 'cari', 'supir', 'tes', 'jadi', 'celaka']",tolong usaha rosalia tolong kalo cari supir tes jadi celaka,"['tolong', 'usaha', 'rosalia', 'tolong', 'cari', 'supir', 'tes', 'celaka']",tolong usaha rosalia tolong cari supir tes celaka,Negatif
"ini ko aplikasi nya eror teruss? tolonglah perbaiki, kalo beli ke tempat makan waktu bulak balik, beli online agar bisa lebih mudah, tp udah instal unistal masih aja eror, yg kasih ulasan bgini jg ga cm 1/2 orang, tp rata2, tolonglah di perbaiki, sekelas Rosalia lo, sy pelanggan Rosalia dari kecil smpe umur 22th skrng, kalo mudik selalu pake Rosalia, tp kesel sm aplikasi nya, jgn bikin saya beralih ke bus lain, udah nyaman sm Rosalia 🥺😌🙏🏼",1,0,,2025-03-12 11:02:59,ini ko aplikasi nya eror teruss tolonglah perbaiki kalo beli ke tempat makan waktu bulak balik beli online agar bisa lebih mudah tp udah instal unistal masih aja eror yg kasih ulasan bgini jg ga cm orang tp rata tolonglah di perbaiki sekelas rosalia lo sy pelanggan rosalia dari kecil smpe umur th skrng kalo mudik selalu pake rosalia tp kesel sm aplikasi nya jgn bikin saya beralih ke bus lain udah nyaman sm rosalia,"['ini', 'ko', 'aplikasi', 'nya', 'eror', 'teruss', 'tolonglah', 'perbaiki', 'kalo', 'beli', 'ke', 'tempat', 'makan', 'waktu', 'bulak', 'balik', 'beli', 'online', 'agar', 'bisa', 'lebih', 'mudah', 'tp', 'udah', 'instal', 'unistal', 'masih', 'aja', 'eror', 'yg', 'kasih', 'ulasan', 'bgini', 'jg', 'ga', 'cm', 'orang', 'tp', 'rata', 'tolonglah', 'di', 'perbaiki', 'sekelas', 'rosalia', 'lo', 'sy', 'pelanggan', 'rosalia', 'dari', 'kecil', 'smpe', 'umur', 'th', 'skrng', 'kalo', 'mudik', 'selalu', 'pake', 'rosalia', 'tp', 'kesel', 'sm', 'aplikasi', 'nya', 'jgn', 'bikin', 'saya', 'beralih', 'ke', 'bus', 'lain', 'udah', 'nyaman', 'sm', 'rosalia']","['ko', 'aplikasi', 'eror', 'teruss', 'tolonglah', 'perbaiki', 'kalo', 'beli', 'makan', 'waktu', 'bulak', 'beli', 'online', 'mudah', 'tp', 'udah', 'instal', 'unistal', 'aja', 'eror', 'yg', 'kasih', 'ulasan', 'bgini', 'jg', 'ga', 'cm', 'tp', 'rata', 'tolonglah', 'perbaiki', 'sekelas', 'rosalia', 'lo', 'sy', 'pelanggan', 'rosalia', 'smpe', 'umur', 'th', 'skrng', 'kalo', 'mudik', 'pake', 'rosalia', 'tp', 'kesel', 'sm', 'aplikasi', 'jgn', 'bikin', 'beralih', 'bus', 'udah', 'nyaman', 'sm', 'rosalia']","['ko', 'aplikasi', 'eror', 'teruss', 'tolong', 'baik', 'kalo', 'beli', 'makan', 'waktu', 'bulak', 'beli', 'online', 'mudah', 'tp', 'udah', 'instal', 'unistal', 'aja', 'eror', 'yg', 'kasih', 'ulas', 'bgini', 'jg', 'ga', 'cm', 'tp', 'rata', 'tolong', 'baik', 'kelas', 'rosalia', 'lo', 'sy', 'langgan', 'rosalia', 'smpe', 'umur', 'th', 'skrng', 'kalo', 'mudik', 'pake', 'rosalia', 'tp', 'kesel', 'sm', 'aplikasi', 'jgn', 'bikin', 'alih', 'bus', 'udah', 'nyaman', 'sm', 'rosalia']",ko aplikasi eror teruss tolong baik kalo beli makan waktu bulak beli online mudah tp udah instal unistal aja eror yg kasih ulas bgini jg ga cm tp rata tolong baik kelas rosalia lo sy langgan rosalia smpe umur th skrng kalo mudik pake rosalia tp kesel sm aplikasi jgn bikin alih bus udah nyaman sm rosalia,"['ko', 'aplikasi', 'eror', 'teruss', 'tolong', 'beli', 'makan', 'waktu', 'bulak', 'beli', 'online', 'mudah', 'instal', 'unistal', 'eror', 'ulas', 'bgini', 'cm', 'rata', 'tolong', 'kelas', 'rosalia', 'lo', 'langgan', 'rosalia', 'smpe', 'umur', 'th', 'skrng', 'mudik', 'pake', 'rosalia', 'kesel', 'sm', 'aplikasi', 'jgn', 'bikin', 'alih', 'bus', 'nyaman', 'sm', 'rosalia']",ko aplikasi eror teruss tolong beli makan waktu bulak beli online mudah instal unistal eror ulas bgini cm rata tolong kelas rosalia lo langgan rosalia smpe umur th skrng mudik pake rosalia kesel sm aplikasi jgn bikin alih bus nyaman sm rosalia,Negatif
"Lumayan membantu yg jauh dari agen...busnya jg bagus...tp proses refund terlalu lama , sedikit kecewa di service makan...PP yg di Sumedang sama di Pemalang",4,0,2.9.0,2025-03-11 10:14:57,lumayan membantu yg jauh dari agenbusnya jg bagustp proses refund terlalu lama sedikit kecewa di service makanpp yg di sumedang sama di pemalang,"['lumayan', 'membantu', 'yg', 'jauh', 'dari', 'agenbusnya', 'jg', 'bagustp', 'proses', 'refund', 'terlalu', 'lama', 'sedikit', 'kecewa', 'di', 'service', 'makanpp', 'yg', 'di', 'sumedang', 'sama', 'di', 'pemalang']","['lumayan', 'membantu', 'yg', 'agenbusnya', 'jg', 'bagustp', 'proses', 'refund', 'kecewa', 'service', 'makanpp', 'yg', 'sumedang', 'pemalang']","['lumayan', 'bantu', 'yg', 'agenbusnya', 'jg', 'bagustp', 'proses', 'refund', 'kecewa', 'service', 'makanpp', 'yg', 'sumedang', 'malang']",lumayan bantu yg agenbusnya jg bagustp proses refund kecewa service makanpp yg sumedang malang,"['lumayan', 'bantu', 'agenbusnya', 'bagustp', 'proses', 'refund', 'kecewa', 'service', 'makanpp', 'sumedang', 'malang']",lumayan bantu agenbusnya bagustp proses refund kecewa service makanpp sumedang malang,Positif
Aplikasinya tidak bisa digunakan jdi sulit untuk memesa,2,0,,2025-03-10 13:14:44,aplikasinya tidak bisa digunakan jdi sulit untuk memesa,"['aplikasinya', 'tidak', 'bisa', 'digunakan', 'jdi', 'sulit', 'untuk', 'memesa']","['aplikasinya', 'jdi', 'sulit', 'memesa']","['aplikasi', 'jdi', 'sulit', 'mesa']",aplikasi jdi sulit mesa,"['aplikasi', 'jdi', 'sulit', 'mesa']",aplikasi jdi sulit mesa,Negatif
Daftar sampe 1 minggu gak ada OTP masuk juga Di ulang sehari sampe 5x tetap aja zonk,1,0,2.9.0,2025-03-10 03:08:57,daftar sampe minggu gak ada otp masuk juga di ulang sehari sampe x tetap aja zonk,"['daftar', 'sampe', 'minggu', 'gak', 'ada', 'otp', 'masuk', 'juga', 'di', 'ulang', 'sehari', 'sampe', 'x', 'tetap', 'aja', 'zonk']","['daftar', 'sampe', 'minggu', 'gak', 'otp', 'ulang', 'sehari', 'sampe', 'aja', 'zonk']","['daftar', 'sampe', 'minggu', 'gak', 'otp', 'ulang', 'hari', 'sampe', 'aja', 'zonk']",daftar sampe minggu gak otp ulang hari sampe aja zonk,"['daftar', 'sampe', 'minggu', 'otp', 'ulang', 'sampe', 'zonk']",daftar sampe minggu otp ulang sampe zonk,Negatif
"Aplikasi nya ngga jelas,,login tp ngga bisa masuk pake Gmail dan no telp ga bisa jga",1,1,,2025-03-09 23:51:41,aplikasi nya ngga jelaslogin tp ngga bisa masuk pake gmail dan no telp ga bisa jga,"['aplikasi', 'nya', 'ngga', 'jelaslogin', 'tp', 'ngga', 'bisa', 'masuk', 'pake', 'gmail', 'dan', 'no', 'telp', 'ga', 'bisa', 'jga']","['aplikasi', 'ngga', 'jelaslogin', 'tp', 'ngga', 'pake', 'gmail', 'no', 'telp', 'ga', 'jga']","['aplikasi', 'ngga', 'jelaslogin', 'tp', 'ngga', 'pake', 'gmail', 'no', 'telp', 'ga', 'jga']",aplikasi ngga jelaslogin tp ngga pake gmail no telp ga jga,"['aplikasi', 'ngga', 'jelaslogin', 'ngga', 'pake', 'gmail', 'no', 'telp', 'jga']",aplikasi ngga jelaslogin ngga pake gmail no telp jga,Negatif
Sekelas perusahaan bus besar tapi bikin aplikasi aja seperti kek cuma sekedarnya aja Padahal diera modern seperti saat ini sangat penting aplikasi seperti ini utk memudahkan pesan tiket online nya,1,2,2.9.0,2025-03-09 18:04:32,sekelas perusahaan bus besar tapi bikin aplikasi aja seperti kek cuma sekedarnya aja padahal diera modern seperti saat ini sangat penting aplikasi seperti ini utk memudahkan pesan tiket online nya,"['sekelas', 'perusahaan', 'bus', 'besar', 'tapi', 'bikin', 'aplikasi', 'aja', 'seperti', 'kek', 'cuma', 'sekedarnya', 'aja', 'padahal', 'diera', 'modern', 'seperti', 'saat', 'ini', 'sangat', 'penting', 'aplikasi', 'seperti', 'ini', 'utk', 'memudahkan', 'pesan', 'tiket', 'online', 'nya']","['sekelas', 'perusahaan', 'bus', 'bikin', 'aplikasi', 'aja', 'kek', 'sekedarnya', 'aja', 'diera', 'modern', 'aplikasi', 'utk', 'memudahkan', 'pesan', 'tiket', 'online']","['kelas', 'usaha', 'bus', 'bikin', 'aplikasi', 'aja', 'kek', 'dar', 'aja', 'era', 'modern', 'aplikasi', 'utk', 'mudah', 'pesan', 'tiket', 'online']",kelas usaha bus bikin aplikasi aja kek dar aja era modern aplikasi utk mudah pesan tiket online,"['kelas', 'usaha', 'bus', 'bikin', 'aplikasi', 'kek', 'dar', 'era', 'modern', 'aplikasi', 'mudah', 'pesan', 'tiket', 'online']",kelas usaha bus bikin aplikasi kek dar era modern aplikasi mudah pesan tiket online,Negatif
"Aplikasi mobile sm web nya jelek banget. Aplikasi mobile nya gabisa login dan cari tiket, di web nya juga selalu down server. Tim IT nya masih magang atau gimna ni?",1,0,,2025-03-09 15:28:46,aplikasi mobile sm web nya jelek banget aplikasi mobile nya gabisa login dan cari tiket di web nya juga selalu down server tim it nya masih magang atau gimna ni,"['aplikasi', 'mobile', 'sm', 'web', 'nya', 'jelek', 'banget', 'aplikasi', 'mobile', 'nya', 'gabisa', 'login', 'dan', 'cari', 'tiket', 'di', 'web', 'nya', 'juga', 'selalu', 'down', 'server', 'tim', 'it', 'nya', 'masih', 'magang', 'atau', 'gimna', 'ni']","['aplikasi', 'mobile', 'sm', 'web', 'jelek', 'banget', 'aplikasi', 'mobile', 'gabisa', 'login', 'cari', 'tiket', 'web', 'down', 'server', 'tim', 'it', 'magang', 'gimna', 'ni']","['aplikasi', 'mobile', 'sm', 'web', 'jelek', 'banget', 'aplikasi', 'mobile', 'gabisa', 'login', 'cari', 'tiket', 'web', 'down', 'server', 'tim', 'it', 'magang', 'gimna', 'ni']",aplikasi mobile sm web jelek banget aplikasi mobile gabisa login cari tiket web down server tim it magang gimna ni,"['aplikasi', 'mobile', 'sm', 'web', 'jelek', 'aplikasi', 'mobile', 'gabisa', 'login', 'cari', 'tiket', 'web', 'down', 'server', 'tim', 'it', 'magang', 'gimna', 'ni']",aplikasi mobile sm web jelek aplikasi mobile gabisa login cari tiket web down server tim it magang gimna ni,Negatif
"Service di pusatnya Bagus. disaat perjalanan juga bagus. armadanya juga recomend, tapi aplikasi ini *Sangat Sangat Tidak Membantu* saya sudah mencoba dowload 4 kali ternyata sistem nya juga belum di perbaiki sampai. hari ini. mendingan klo nggak niat buat aplikasi lebih baik di hapuskan ajja, mengurangi kekecewaan konsumen.",1,2,,2025-03-08 08:27:12,service di pusatnya bagus disaat perjalanan juga bagus armadanya juga recomend tapi aplikasi ini sangat sangat tidak membantu saya sudah mencoba dowload kali ternyata sistem nya juga belum di perbaiki sampai hari ini mendingan klo nggak niat buat aplikasi lebih baik di hapuskan ajja mengurangi kekecewaan konsumen,"['service', 'di', 'pusatnya', 'bagus', 'disaat', 'perjalanan', 'juga', 'bagus', 'armadanya', 'juga', 'recomend', 'tapi', 'aplikasi', 'ini', 'sangat', 'sangat', 'tidak', 'membantu', 'saya', 'sudah', 'mencoba', 'dowload', 'kali', 'ternyata', 'sistem', 'nya', 'juga', 'belum', 'di', 'perbaiki', 'sampai', 'hari', 'ini', 'mendingan', 'klo', 'nggak', 'niat', 'buat', 'aplikasi', 'lebih', 'baik', 'di', 'hapuskan', 'ajja', 'mengurangi', 'kekecewaan', 'konsumen']","['service', 'pusatnya', 'bagus', 'disaat', 'perjalanan', 'bagus', 'armadanya', 'recomend', 'aplikasi', 'membantu', 'mencoba', 'dowload', 'sistem', 'perbaiki', 'mendingan', 'klo', 'nggak', 'niat', 'aplikasi', 'hapuskan', 'ajja', 'mengurangi', 'kekecewaan', 'konsumen']","['service', 'pusat', 'bagus', 'saat', 'jalan', 'bagus', 'armada', 'recomend', 'aplikasi', 'bantu', 'coba', 'dowload', 'sistem', 'baik', 'mending', 'klo', 'nggak', 'niat', 'aplikasi', 'hapus', 'ajja', 'kurang', 'kecewa', 'konsumen']",service pusat bagus saat jalan bagus armada recomend aplikasi bantu coba dowload sistem baik mending klo nggak niat aplikasi hapus ajja kurang kecewa konsumen,"['service', 'pusat', 'bagus', 'jalan', 'bagus', 'armada', 'recomend', 'aplikasi', 'bantu', 'dowload', 'sistem', 'mending', 'nggak', 'niat', 'aplikasi', 'hapus', 'ajja', 'kecewa', 'konsumen']",service pusat bagus jalan bagus armada recomend aplikasi bantu dowload sistem mending nggak niat aplikasi hapus ajja kecewa konsumen,Negatif
Halo KA bisa bantu saya daptar di sini suatu saat saya butuh playanan di sini,4,0,2.9.0,2025-03-07 09:43:48,halo ka bisa bantu saya daptar di sini suatu saat saya butuh playanan di sini,"['halo', 'ka', 'bisa', 'bantu', 'saya', 'daptar', 'di', 'sini', 'suatu', 'saat', 'saya', 'butuh', 'playanan', 'di', 'sini']","['ka', 'bantu', 'daptar', 'butuh', 'playanan']","['ka', 'bantu', 'daptar', 'butuh', 'playanan']",ka bantu daptar butuh playanan,"['ka', 'bantu', 'daptar', 'butuh', 'playanan']",ka bantu daptar butuh playanan,Positif
"Tidak bisa login ke dalam aplikasi, sedangkan diweb bisa login dan bisa transaksi, susah untuk menghubungi contact center. terimakasih.",1,3,2.9.0,2025-03-06 05:15:30,tidak bisa login ke dalam aplikasi sedangkan diweb bisa login dan bisa transaksi susah untuk menghubungi contact center terimakasih,"['tidak', 'bisa', 'login', 'ke', 'dalam', 'aplikasi', 'sedangkan', 'diweb', 'bisa', 'login', 'dan', 'bisa', 'transaksi', 'susah', 'untuk', 'menghubungi', 'contact', 'center', 'terimakasih']","['login', 'aplikasi', 'diweb', 'login', 'transaksi', 'susah', 'menghubungi', 'contact', 'center', 'terimakasih']","['login', 'aplikasi', 'diweb', 'login', 'transaksi', 'susah', 'hubung', 'contact', 'center', 'terimakasih']",login aplikasi diweb login transaksi susah hubung contact center terimakasih,"['login', 'aplikasi', 'diweb', 'login', 'transaksi', 'susah', 'hubung', 'contact', 'center', 'terimakasih']",login aplikasi diweb login transaksi susah hubung contact center terimakasih,Negatif
Maaf ini kenapa kode OTPNYA udah 3 kali gak masuk masuk iya??,3,0,2.9.0,2025-03-05 23:07:07,maaf ini kenapa kode otpnya udah kali gak masuk masuk iya,"['maaf', 'ini', 'kenapa', 'kode', 'otpnya', 'udah', 'kali', 'gak', 'masuk', 'masuk', 'iya']","['maaf', 'kode', 'otpnya', 'udah', 'gak', 'iya']","['maaf', 'kode', 'otpnya', 'udah', 'gak', 'iya']",maaf kode otpnya udah gak iya,"['maaf', 'kode', 'otpnya', 'iya']",maaf kode otpnya iya,Netral
Bug. Tiket bus yang dibeli tidak ada rute/random.,2,0,,2025-03-05 15:54:24,bug tiket bus yang dibeli tidak ada ruterandom,"['bug', 'tiket', 'bus', 'yang', 'dibeli', 'tidak', 'ada', 'ruterandom']","['bug', 'tiket', 'bus', 'dibeli', 'ruterandom']","['bug', 'tiket', 'bus', 'beli', 'ruterandom']",bug tiket bus beli ruterandom,"['bug', 'tiket', 'bus', 'beli', 'ruterandom']",bug tiket bus beli ruterandom,Negatif
Aplikasi busuk! Contact servis tidak merespon pelayanan macam apa!,1,0,2.9.0,2025-03-05 12:50:07,aplikasi busuk contact servis tidak merespon pelayanan macam apa,"['aplikasi', 'busuk', 'contact', 'servis', 'tidak', 'merespon', 'pelayanan', 'macam', 'apa']","['aplikasi', 'busuk', 'contact', 'servis', 'merespon', 'pelayanan']","['aplikasi', 'busuk', 'contact', 'servis', 'merespon', 'layan']",aplikasi busuk contact servis merespon layan,"['aplikasi', 'busuk', 'contact', 'servis', 'merespon', 'layan']",aplikasi busuk contact servis merespon layan,Negatif
"Akun keluar sendiri padahal saya ga log out,,",1,9,2.9.0,2025-03-05 05:08:11,akun keluar sendiri padahal saya ga log out,"['akun', 'keluar', 'sendiri', 'padahal', 'saya', 'ga', 'log', 'out']","['akun', 'ga', 'log', 'out']","['akun', 'ga', 'log', 'out']",akun ga log out,"['akun', 'log', 'out']",akun log out,Negatif
masuk akun gak bisa,1,0,2.9.0,2025-03-04 21:09:22,masuk akun gak bisa,"['masuk', 'akun', 'gak', 'bisa']","['akun', 'gak']","['akun', 'gak']",akun gak,['akun'],akun,Negatif
"saya akuin bus nya enakk, cuman DELAY NYA GA KIRA² BUSETTT, berjam² boyy. BUANG² WAKTU , buat geram plss",3,0,2.9.0,2025-03-04 16:03:43,saya akuin bus nya enakk cuman delay nya ga kira busettt berjam boyy buang waktu buat geram plss,"['saya', 'akuin', 'bus', 'nya', 'enakk', 'cuman', 'delay', 'nya', 'ga', 'kira', 'busettt', 'berjam', 'boyy', 'buang', 'waktu', 'buat', 'geram', 'plss']","['akuin', 'bus', 'enakk', 'cuman', 'delay', 'ga', 'busettt', 'berjam', 'boyy', 'buang', 'waktu', 'geram', 'plss']","['akuin', 'bus', 'enakk', 'cuman', 'delay', 'ga', 'busettt', 'jam', 'boyy', 'buang', 'waktu', 'geram', 'plss']",akuin bus enakk cuman delay ga busettt jam boyy buang waktu geram plss,"['akuin', 'bus', 'enakk', 'cuman', 'delay', 'busettt', 'jam', 'boyy', 'buang', 'waktu', 'geram', 'plss']",akuin bus enakk cuman delay busettt jam boyy buang waktu geram plss,Netral
Mau pesen tiket lewat aplikasi. Ga bisa.. sdh register tp ga bisa. Hp udah di on off in msh juga.. Mau pesen tiket..jd kendala. Apa pesen tpt lain aja ya .? Aplikasi pesen online nya trouble. Syg pdhl info teman2 saya Bus nya bagus. Aplikasi nya error . Semoga cpt diperbaiki. Mau musim mudik soale. Syg peak season tar pelanggan ke armada lain. Gara2 case pemesanan aplikasi online nya,2,15,2.9.0,2025-03-04 13:32:13,mau pesen tiket lewat aplikasi ga bisa sdh register tp ga bisa hp udah di on off in msh juga mau pesen tiketjd kendala apa pesen tpt lain aja ya aplikasi pesen online nya trouble syg pdhl info teman saya bus nya bagus aplikasi nya error semoga cpt diperbaiki mau musim mudik soale syg peak season tar pelanggan ke armada lain gara case pemesanan aplikasi online nya,"['mau', 'pesen', 'tiket', 'lewat', 'aplikasi', 'ga', 'bisa', 'sdh', 'register', 'tp', 'ga', 'bisa', 'hp', 'udah', 'di', 'on', 'off', 'in', 'msh', 'juga', 'mau', 'pesen', 'tiketjd', 'kendala', 'apa', 'pesen', 'tpt', 'lain', 'aja', 'ya', 'aplikasi', 'pesen', 'online', 'nya', 'trouble', 'syg', 'pdhl', 'info', 'teman', 'saya', 'bus', 'nya', 'bagus', 'aplikasi', 'nya', 'error', 'semoga', 'cpt', 'diperbaiki', 'mau', 'musim', 'mudik', 'soale', 'syg', 'peak', 'season', 'tar', 'pelanggan', 'ke', 'armada', 'lain', 'gara', 'case', 'pemesanan', 'aplikasi', 'online', 'nya']","['pesen', 'tiket', 'aplikasi', 'ga', 'sdh', 'register', 'tp', 'ga', 'hp', 'udah', 'on', 'off', 'in', 'msh', 'pesen', 'tiketjd', 'kendala', 'pesen', 'tpt', 'aja', 'aplikasi', 'pesen', 'online', 'trouble', 'syg', 'pdhl', 'info', 'teman', 'bus', 'bagus', 'aplikasi', 'error', 'semoga', 'cpt', 'diperbaiki', 'musim', 'mudik', 'soale', 'syg', 'peak', 'season', 'tar', 'pelanggan', 'armada', 'gara', 'case', 'pemesanan', 'aplikasi', 'online']","['sen', 'tiket', 'aplikasi', 'ga', 'sdh', 'register', 'tp', 'ga', 'hp', 'udah', 'on', 'off', 'in', 'msh', 'sen', 'tiketjd', 'kendala', 'sen', 'tpt', 'aja', 'aplikasi', 'sen', 'online', 'trouble', 'syg', 'pdhl', 'info', 'teman', 'bus', 'bagus', 'aplikasi', 'error', 'moga', 'cpt', 'baik', 'musim', 'mudik', 'soale', 'syg', 'peak', 'season', 'tar', 'langgan', 'armada', 'gara', 'case', 'mesan', 'aplikasi', 'online']",sen tiket aplikasi ga sdh register tp ga hp udah on off in msh sen tiketjd kendala sen tpt aja aplikasi sen online trouble syg pdhl info teman bus bagus aplikasi error moga cpt baik musim mudik soale syg peak season tar langgan armada gara case mesan aplikasi online,"['sen', 'tiket', 'aplikasi', 'sdh', 'register', 'hp', 'on', 'off', 'in', 'msh', 'sen', 'tiketjd', 'kendala', 'sen', 'tpt', 'aplikasi', 'sen', 'online', 'trouble', 'syg', 'pdhl', 'info', 'teman', 'bus', 'bagus', 'aplikasi', 'error', 'moga', 'cpt', 'musim', 'mudik', 'soale', 'syg', 'peak', 'season', 'tar', 'langgan', 'armada', 'gara', 'case', 'mesan', 'aplikasi', 'online']",sen tiket aplikasi sdh register hp on off in msh sen tiketjd kendala sen tpt aplikasi sen online trouble syg pdhl info teman bus bagus aplikasi error moga cpt musim mudik soale syg peak season tar langgan armada gara case mesan aplikasi online,Negatif
